sequenceID	updated_host	iso_source	minor_clade	major_clade	collection_month	collection_month_day	collection_year	vaccine_strain	isolate
AB428314	Canis familiaris	dog brain	SEA2a	Asian	APR	20	2003	-	CHdg8
AB428324	Canis familiaris	dog brain	SEA2a	Asian	APR	20	2003	-	CHdg8
AB428331	Canis familiaris	dog brain	SEA2a	Asian	APR	20	2003	-	CHdg8
JX648489	Canis familiaris	dog brain	DR	Bats	-	-	2004	-	PERLAMDG16670-04
JX648426	Canis familiaris	dog brain	DR	Bats	-	-	2002	-	PERSMADG15667-02
DQ105947	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R105
DQ105948	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R107
DQ105949	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R109
DQ105952	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R116
DQ105953	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R117
DQ105956	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R132
DQ105957	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R134
DQ105959	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R141
DQ105960	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R142
DQ105961	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R143
DQ105962	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R144
DQ105963	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R145
DQ105943	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R76
DQ105944	Canis familiaris	dog brain	AL1a	Arctic	-	-	-	-	R81
AY259843	Canis familiaris	dog; Chennai 1996	-	Indian-Sub	-	-	-	-	DchN2M
AY259844	Canis familiaris	dog; Chennai 1997	-	Indian-Sub	-	-	-	-	DchN3M
AY259845	Canis familiaris	dog; Chennai 1997	-	Indian-Sub	-	-	-	-	DchN4M
AY259846	Canis familiaris	dog; Chennai 1997	-	Indian-Sub	-	-	-	-	DchOBD
AY259847	Canis familiaris	dog; Chennai 1997	-	-	-	-	-	-	DchPCD
AY259848	Canis familiaris	dog; Chennai 1998	-	Indian-Sub	-	-	-	-	DchPCDB
AY259849	Canis familiaris	dog; Chennai 1998	-	Indian-Sub	-	-	-	-	DchPCDB1
AY259853	Canis familiaris	dog; Chennai 1998	-	Indian-Sub	-	-	-	-	DchTAT
AY259850	Canis familiaris	dog; Chennai 1999	-	-	-	-	-	-	DchPCDX
AY259851	Canis familiaris	dog; Chennai 1999	-	Indian-Sub	-	-	-	-	DchT2T
AY259854	Canis familiaris	dog; Chennai 1999	-	-	-	-	-	-	DchTAF
DQ786033	Canis familiaris	domestic dog brain	AF1b	Cosmopolitan	-	-	-	-	448/03
DQ991104	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	MVCDB1
DQ991113	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2006	-	MVCDB10
DQ991116	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	MVCDB14
DQ991105	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2006	-	MVCDB2
DQ991106	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2006	-	MVCDB3
DQ991107	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2006	-	MVCDB4
DQ991108	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	MVCDB5
DQ991109	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	MVCDB6
DQ991110	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	MVCDB7
DQ991111	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	MVCDB8
DQ991112	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2006	-	MVCDB9
DQ991127	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	NIMMB11
DQ991128	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	NIMMB12
DQ991120	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	NIMMB4
DQ991121	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	NIMMB5
DQ991122	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2006	-	NIMMB6
DQ991123	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2005	-	NIMMB7
DQ991124	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2006	-	NIMMB8
DQ991125	Canis familiaris	infected brain from dog	AL1a	Arctic	-	-	2006	-	NIMMB9
DQ280331	Canis familiaris	infected dog brain	AL1a	-	-	-	-	-	-
DQ280332	Canis familiaris	infected dog brain	AL1a	-	-	-	-	-	-
DQ280333	Canis familiaris	infected dog brain	-	Arctic	-	-	-	-	-
DQ280335	Canis familiaris	infected dog brain	-	-	-	-	-	-	-
DQ280348	Canis familiaris	infected dog brain	AL1a	Arctic	-	-	-	-	-
DQ280349	Canis familiaris	infected dog brain	-	Arctic	-	-	-	-	-
DQ840098	Canis familiaris	infected dog brain	AL1a	Arctic	-	-	-	-	-
AY103013	Canis familiaris	Kenya/Dog	AF1b	Cosmopolitan	-	-	-	-	Rv460
AY102996	Canis familiaris	Pakistan/Dog/1989	AL1a	Arctic	-	-	-	-	Rv193
AY103003	Canis familiaris	Philippines/Dog/1994	SEA4	Asian	-	-	-	-	94270phi
AY103004	Canis familiaris	Philippines/Dog/1994	SEA4	Asian	-	-	-	-	94273phi
AY103005	Canis familiaris	Philippines/Dog/1994	SEA4	Asian	-	-	-	-	94280phi
AY103002	Canis familiaris	Philippines/Dog/2001	SEA4	Asian	-	-	-	-	Rv1121
MH460408	Canis familiaris	rabid canine's brain	SEA3	Asian	NOV	14	2017	-	TH-street11/17
JN786877	Canis familiaris	rabid dog	SEA3	Asian	-	-	-	-	QS-05
AY103010	Canis familiaris	South Africa/Dog	AF1b	Cosmopolitan	-	-	-	-	Rv189
AY102995	Canis familiaris	Sri Lanka/Dog	-	Indian-Sub	-	-	-	-	Rv69
AY103006	Canis familiaris	Thailand/Dog	SEA3	Asian	-	-	-	-	Rv1116
AY561764	Canis latrans	Canis latrans	AM2a	Cosmopolitan	-	-	-	-	247coahcy01
EU589997	Canis lupus	brain	ME2	Cosmopolitan	-	-	-	-	Wolf6220/2005
EU589998	Canis lupus	brain	ME2	Cosmopolitan	-	-	-	-	Wolf9552/2005
AB206437	Capra hircus	goat	DR	Bats	-	-	-	-	BR-Pgt1
AB623077	Capra hircus	Goat	DR	Bats	-	-	2008	-	BRgt1205
AB505881	Capra hircus	goat	AF1a	Cosmopolitan	-	-	2003	-	UGgt12
AB505875	Capra hircus	goat	AF1b	Cosmopolitan	-	-	2003	-	UGgt6
AB505876	Capra hircus	goat	AF1b	Cosmopolitan	-	-	2003	-	UGgt7
JX648471	Capra hircus	goat brain	DR	Bats	-	-	2002	-	PERAYAGT10576-02
JX648497	Capra hircus	goat brain	DR	Bats	-	-	2002	-	PERAYAGT10578-02
JX648531	Capra hircus	goat brain	DR	Bats	-	-	2003	-	PERAYAGT24135-03
JX648469	Capra hircus	goat brain	DR	Bats	-	-	2006	-	PERAYAGT42935-06
JX648486	Capra hircus	goat brain	DR	Bats	-	-	2007	-	PERAYAGT5592-07
DQ105954	Capra hircus	goat brain	AL1a	Arctic	-	-	-	-	R121
DQ105945	Capra hircus	goat brain	AL1a	Arctic	-	-	-	-	R82
DQ105946	Capra hircus	goat brain	AL1a	Arctic	-	-	-	-	R98
AY259841	Capra hircus	goat; Chennai 1996	-	Indian-Sub	-	-	-	-	GchAT3
DQ991114	Capra hircus	infected brain from goat	AL1a	Arctic	-	-	2005	-	MVCGB12
DQ991115	Capra hircus	infected brain from goat	AL1a	Arctic	-	-	2006	-	MVCGB13
DQ991117	Capra hircus	infected brain from goat	AL1a	Arctic	-	-	2006	-	MVCGB15
AY561818	Cervidae sp.	deer	-	Cosmopolitan	-	-	-	-	4475yucdeer99
AB154214	Cervidae sp.	Deer	SEA1b	Asian	-	-	-	-	SC01-65
DQ991131	Cervidae sp.	infected brain from deer	AL1a	Arctic	-	-	2006	-	NIMMB15
AB201819	Chiroptera sp.	Bat	DR	Bats	-	-	-	-	BR-BAT1
AB297651	Chiroptera sp.	Bat	-	Bats	-	-	-	-	BR-BAT13
AB297652	Chiroptera sp.	Bat	LC	Bats	-	-	-	-	BR-BAT15
AB373639	Chiroptera sp.	bat	LC	Bats	-	-	2003	-	BR-BAT15
AB297653	Chiroptera sp.	Bat	LC	Bats	-	-	-	-	BR-BAT16
AB373640	Chiroptera sp.	bat	LC	Bats	-	-	2006	-	BR-BAT16
AB201820	Chiroptera sp.	Bat	DR	Bats	-	-	-	-	BR-BAT2
AB297654	Chiroptera sp.	Bat	LC	Bats	-	-	-	-	BR-BAT22
AB297655	Chiroptera sp.	Bat	-	Bats	-	-	-	-	BR-BAT26
AB297656	Chiroptera sp.	Bat	-	Bats	-	-	-	-	BR-BAT27
AB297657	Chiroptera sp.	Bat	-	Bats	-	-	-	-	BR-BAT28
AB297658	Chiroptera sp.	Bat	-	Bats	-	-	-	-	BR-BAT29
AB297650	Chiroptera sp.	Bat	-	Bats	-	-	-	-	BR-BAT3
AB383162	Chiroptera sp.	Bat	-	Bats	-	-	-	-	BR-BAT3
AB297659	Chiroptera sp.	Bat	-	Bats	-	-	-	-	BR-BAT31
DQ416123	Chiroptera sp.	bat (species not determined) brain	-	Bats	-	-	-	-	3844dfbt03
DQ416124	Chiroptera sp.	bat (species not determined) brain	-	Bats	-	-	-	-	3870slpbt03
AB516672	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-AL5
AB516673	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT10
AB516674	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT11
AB516675	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT12
AB516676	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT14
AB516677	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT17
AB516678	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT18
AB516679	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT19
AB516681	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT21
AB516682	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT23
AB516683	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT24
AB516684	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT25
AB516685	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT30
AB516686	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT6
AB516687	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT7
AB516688	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT8
AB516689	Chiroptera sp.	frugivorous bat	DR	Bats	-	-	-	-	BR-BAT9
AB516680	Chiroptera sp.	insectivorous bat	DR	Bats	-	-	-	-	BR-BAT20
AB206414	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt1
AB206415	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt2
AB206416	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt3
AB206417	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt4
AB206418	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt5
AB206419	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt6
AB206420	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt7
AB206421	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt8
AB206422	Chiroptera sp.	insectivorous bat	-	Bats	-	-	-	-	BR-Pbt9
AB383163	Chiroptera sp.	Non-haematophagous bat	LC	Bats	-	-	-	-	BR-BAT15
AB383164	Chiroptera sp.	Non-haematophagous bat	LC	Bats	-	-	-	-	BR-BAT16
AB383165	Chiroptera sp.	Non-haematophagous bat	EFu	Bats	-	-	-	-	BR-BAT28
AB383166	Chiroptera sp.	Non-haematophagous bat	-	Bats	-	-	-	-	BR-BAT29
AY103011	Cynictis penicillata	South Africa/Yellow mongoose	-	Africa-3	-	-	-	-	Rv420
AY103012	Cynictis penicillata	South Africa/Yellow mongoose	-	-	-	-	-	-	Rv421
AB247421	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR1
AB247422	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR2
AB516690	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR22
AB247423	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR3
AB247424	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR4
AB247425	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR5
AB247426	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR6
AB247427	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR7
AB247428	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR8
AB247429	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BR-DR9
AB110664	Desmodus sp.	vampire bat	DR	Bats	-	-	-	-	BRvmbt 33
AB247442	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BRvmbt41
AB247443	Desmodus sp.	Vampire bat	DR	Bats	-	-	-	-	BRvmbt47
AB206439	Equus asinus	donkey	DR	Bats	-	-	-	-	BR-Pdk1
JX648422	Equus asinus	donkey brain	DR	Bats	-	-	2005	-	PERAYADK50031-05
JX648542	Equus asinus	donkey brain	DR	Bats	-	-	2005	-	PERAYADN47065-05
AB516725	Equus caballus	equine	DR	Bats	-	-	-	-	BRbv1051
AB516726	Equus caballus	equine	DR	Bats	-	-	-	-	BRbv1052
AB516727	Equus caballus	equine	DR	Bats	-	-	-	-	BRbv1053
AB516994	Equus caballus	equine	DR	Bats	-	-	-	-	BRbv1055
AB516997	Equus caballus	equine	DR	Bats	-	-	-	-	BRbv1058
AB516729	Equus caballus	equine	DR	Bats	-	-	-	-	BRbv1059
AB516734	Equus caballus	equine	DR	Bats	-	-	-	-	BRbv1065
AB623076	Equus caballus	Horse	DR	Bats	-	-	2007	-	BRhr1196
AB110660	Equus caballus	horse	AM3a	Cosmopolitan	-	-	-	-	BRhr18
AB110662	Equus caballus	horse	DR	Bats	-	-	-	-	BRhr31
JX648525	Equus caballus	horse brain	DR	Bats	-	-	2002	-	PERAPUHR3981-02
JX648466	Equus caballus	horse brain	DR	Bats	-	-	2003	-	PERAYAHR17815-03
JX648505	Equus caballus	horse brain	DR	Bats	-	-	2002	-	PERAYAHR27817-02
JX648534	Equus caballus	horse brain	DR	Bats	-	-	2004	-	PERCUSHR24845-04
JX648429	Equus caballus	horse brain	DR	Bats	-	-	2004	-	PERSMAHR17048-04
JX648428	Equus caballus	horse brain	DR	Bats	-	-	2004	-	PERSMAHR17053-04
JX648532	Equus caballus	horse brain	DR	Bats	-	-	2002	-	PERSMAHR27577-02
JX648424	Equus caballus	horse brain	DR	Bats	-	-	2002	-	PERSMAHR35351-02
JX648419	Equus caballus	horse brain	DR	Bats	-	-	2003	-	PERSMAHR6074-03
AY102994	Equus caballus	Nigeria/Horse	AF1a	Cosmopolitan	-	-	-	-	Rv62
AY561769	Felis catus	cat	AM2a	Cosmopolitan	-	-	-	-	3275gtoct01
AY561813	Felis catus	cat	-	RAC-SK	-	-	-	-	3289jalct00
AY561763	Felis catus	cat	AM2a	Cosmopolitan	-	-	-	-	4506tampct02
AY561762	Felis catus	cat	AM2a	Cosmopolitan	-	-	-	-	4508tampct02
AB263315	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct112
AB276309	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct112
AB276310	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct116
AB263318	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct120
AB263299	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct14
AB263301	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct20
AB263302	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct21
AB263303	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct22
AB263305	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct25
AB263306	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct26
AB263307	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct27
AB110656	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct3
AB263325	Felis catus	cat	DR	Bats	-	-	-	-	BRct319
AB247408	Felis catus	Cat	AM3a	Cosmopolitan	-	-	-	-	BRct333
AB263330	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct333
AB263293	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct4
AB247409	Felis catus	Cat	AM3a	Cosmopolitan	-	-	-	-	BRct5
AB263296	Felis catus	cat	AM3a	Cosmopolitan	-	-	-	-	BRct9
AF533817	Felis catus	cat	-	Bats	-	-	-	-	CICT3543
AF533818	Felis catus	cat	-	Bats	-	-	-	-	CICT3596
AF533774	Felis catus	cat	-	Bats	-	-	-	-	Gt1519
AB154208	Felis catus	cat	SEA1b	Asian	-	-	-	-	SC01-68
AB154209	Felis catus	cat	SEA1b	Asian	-	-	-	-	SC01-74
AB154210	Felis catus	Cat	SEA1b	Asian	-	-	-	-	SC01-75
AB154211	Felis catus	Cat	SEA1b	Asian	-	-	-	-	SC02-82
AB041968	Felis catus	cat	-	Indian-Sub	-	-	-	-	SRL1143
DQ416122	Felis catus	cat brain	-	Bats	-	-	-	-	3301slct99
DQ280336	Felis catus	infected cat brain	-	Arctic	-	-	-	-	-
AY103014	Felis catus	South Africa/Cat	-	-	-	-	-	-	Rv487
AF533824	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	CIHM4312
AF533775	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	HI1126
AF533776	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	HI1202
AF533777	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	HI4030
AF533778	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	HI529
AF533779	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	HI57
AF533780	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	HI696
AF533781	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	HI697
AF533812	Histiotus sp.	Histiotus sp.	-	Bats	-	-	-	-	HI887
EU589963	Homo sapiens	brain	ME1a	Cosmopolitan	-	-	-	-	Horse8381/2006
EU589989	Homo sapiens	brain	ME1a	Cosmopolitan	-	-	-	-	Human145/1997
EU589974	Homo sapiens	brain	ME1a	Cosmopolitan	-	-	-	-	Human329/1996
EF102774	Homo sapiens	brain	AL1a	Arctic	-	-	-	-	patient 1
EF127002	Homo sapiens	brain	AL1a	Arctic	-	-	-	-	patient 1
EF102777	Homo sapiens	brain	AL1a	Arctic	-	-	-	-	patient 2
EF127004	Homo sapiens	brain	AL1a	Arctic	-	-	-	-	patient 2
EF102778	Homo sapiens	brain	AL1a	Arctic	-	-	-	-	patient 3
EF127006	Homo sapiens	brain	AL1a	Arctic	-	-	-	-	patient 3
AY218999	Homo sapiens	brain of patient with dumb rabies	SEA3	Asian	-	-	-	-	HM208
AY257983	Homo sapiens	brain of patient with dumb rabies	SEA3	Asian	-	-	-	-	HM208
AY257987	Homo sapiens	brain of patient with dumb rabies	SEA3	Asian	-	-	-	-	HM208
AY219001	Homo sapiens	brain of patient with dumb rabies	SEA3	Asian	-	-	-	-	HM75
AY257981	Homo sapiens	brain of patient with dumb rabies	SEA3	Asian	-	-	-	-	HM75
AY257985	Homo sapiens	brain of patient with dumb rabies	SEA3	Asian	-	-	-	-	HM75
AY219000	Homo sapiens	brain of patient with furious rabies	SEA3	Asian	-	-	-	-	HM65
AY257980	Homo sapiens	brain of patient with furious rabies	SEA3	Asian	-	-	-	-	HM65
AY257984	Homo sapiens	brain of patient with furious rabies	SEA3	Asian	-	-	-	-	HM65
AY219002	Homo sapiens	brain of patient with furious rabies	SEA3	Asian	-	-	-	-	HM88
AY257982	Homo sapiens	brain of patient with furious rabies	SEA3	Asian	-	-	-	-	HM88
AY257986	Homo sapiens	brain of patient with furious rabies	SEA3	Asian	-	-	-	-	HM88
AB276307	Homo sapiens	human	AM3a	Cosmopolitan	-	-	-	-	BRhm16
AB276311	Homo sapiens	human	AM3a	Cosmopolitan	-	-	-	-	BRhm528
AB276312	Homo sapiens	human	AM3a	Cosmopolitan	-	-	-	-	BRhm529
AB276313	Homo sapiens	human	AM3a	Cosmopolitan	-	-	-	-	BRhm530
AB276314	Homo sapiens	human	AM3a	Cosmopolitan	-	-	-	-	BRhm531
AB276315	Homo sapiens	human	DR	Bats	-	-	-	-	BRhm671
AB041965	Homo sapiens	human	-	Indian-Sub	-	-	-	-	SRL1036
JX648442	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERCUSHM7745-07
JX648440	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERCUSHM8217-07
JX648443	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERCUSHM8714-07
JX648438	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERCUSHM9449-07
JX648434	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERMDIHM1710-07
JX648435	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERMDIHM2987-07
JX648437	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERMDIHM5710-07
JX648436	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERMDIHM5711-07
JX648441	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERPUNHM7172-07
JX648439	Homo sapiens	human brain	DR	Bats	-	-	2007	-	PERPUNHM9090-07
JX648418	Homo sapiens	human brain	DR	Bats	-	-	2003	-	PERUCAHM23580-03
JX648416	Homo sapiens	human brain	DR	Bats	-	-	2003	-	PERUCAHM24278-03
DQ280337	Homo sapiens	infected human saliva	A	Arctic	-	-	-	-	-
DQ280338	Homo sapiens	infected human saliva	A	Arctic	-	-	-	-	-
DQ280339	Homo sapiens	infected human saliva	-	Arctic	-	-	-	-	-
DQ280340	Homo sapiens	infected human saliva	-	Arctic	-	-	-	-	-
DQ280341	Homo sapiens	infected human saliva	-	Arctic	-	-	-	-	-
DQ280342	Homo sapiens	infected human saliva	-	-	-	-	-	-	-
DQ280343	Homo sapiens	infected human saliva	AL1a	-	-	-	-	-	-
DQ280344	Homo sapiens	infected human saliva	AL1a	Arctic	-	-	-	-	-
DQ280345	Homo sapiens	infected human saliva	AL1a	Arctic	-	-	-	-	-
DQ280346	Homo sapiens	infected human saliva	AL1a	-	-	-	-	-	-
DQ280347	Homo sapiens	infected human saliva	AL1a	Arctic	-	-	-	-	-
AY103016	Homo sapiens	Nigeria/Human/1996	-	Africa-2	-	-	-	-	Rv629
AY103008	Homo sapiens	Nigeria/Human/1996 - Nigeria/UK ex Nigeria	-	Africa-2	-	-	-	-	Rv629
AY103007	Homo sapiens	Nigeria/Human/2001	-	Africa-2	-	-	-	-	Rv1122
AY103017	Homo sapiens	Nigeria/Human/2001	-	Africa-2	-	-	-	-	Rv1122
AY103001	Homo sapiens	Philippines/Human/1999	SEA4	Asian	-	-	-	-	Rv1120
MH141794	Homo sapiens	rabies patient	SEA1b	Asian	-	-	2017	-	17HN10
MH141795	Homo sapiens	rabies patient	SEA1b	Asian	-	-	2017	-	17HN17
MH141796	Homo sapiens	rabies patient	SEA1b	Asian	-	-	2017	-	17HN19
MH141797	Homo sapiens	rabies patient	SEA1b	Asian	-	-	2017	-	17HN27
MH141798	Homo sapiens	rabies patient	SEA1b	Asian	-	-	2017	-	17HN68
MH141799	Homo sapiens	rabies patient	SEA1b	Asian	-	-	2017	-	17HN74
MH141800	Homo sapiens	rabies patient	SEA1b	Asian	-	-	2017	-	17HN75
MH141801	Homo sapiens	rabies patient	SEA1b	Asian	-	-	2017	-	17HN78
EF564174	Homo sapiens	rabies patient	SEA2a	Asian	-	-	1956	-	CTN181
EU643590	Homo sapiens	rabies patient	SEA2a	Asian	-	-	2006	-	HN10
EF102775	Homo sapiens	saliva	AL1a	Arctic	-	-	-	-	patient 1
EF127003	Homo sapiens	saliva	AL1a	Arctic	-	-	-	-	patient 1
EF102776	Homo sapiens	saliva	AL1a	Arctic	-	-	-	-	patient 2
EF127005	Homo sapiens	saliva	AL1a	Arctic	-	-	-	-	patient 2
AY956319	Homo sapiens	saliva from symptomatic organ recipient	AL1a	Arctic	-	-	-	-	-
FJ959397	Homo sapiens	the brain of rabies patient	SEA2a	Asian	-	-	1956	-	CTN-1
AY103000	Homo sapiens	UK ex-Philippines/Human/2001	SEA4	Asian	-	-	-	-	Rv1112
AF533828	Lasiurus sp.	Lasiurus sp.	LC	Bats	-	-	-	-	lbbt3589
AF533810	Lasiurus sp.	Lasiurus sp.	LC	Bats	-	-	-	-	LS1979
AF533814	Lasiurus sp.	Lasiurus sp.	LC	Bats	-	-	-	-	LS2063
AF533782	Lasiurus sp.	Lasiurus sp.	LC	Bats	-	-	-	-	LS25
AF533783	Lasiurus sp.	Lasiurus sp.	LC	Bats	-	-	-	-	LS87
AY561803	Lynx rufus	Lynx rufus (bobcat)	AM2b	Cosmopolitan	-	-	-	-	3264sinbct01
AY561800	Lynx rufus	Lynx rufus (bobcat)	AM2b	Cosmopolitan	-	-	-	-	4510sonbct02
AY561806	Mephitis mephitis	Mephitis mephitis	Vac2	Cosmopolitan	-	-	-	-	1535dgosk01
AY561805	Mephitis mephitis	Mephitis mephitis	Vac2	Cosmopolitan	-	-	-	-	231sinsk01
AY561804	Mephitis mephitis	Mephitis mephitis	Vac2	Cosmopolitan	-	-	-	-	641sinsk01
AF533833	Myotis sp.	Myotis sp.	-	Bats	-	-	-	-	cimy3941
AF533813	Myotis sp.	Myotis sp.	-	Bats	-	-	-	-	My149
DQ786032	Otocyon megalotis	Otocyon megalotis brain	AF1b	Cosmopolitan	-	-	-	-	504/00
EU589979	Ovis aries	brain	ME1a	Cosmopolitan	-	-	-	-	Sheep9877/1999
DQ991129	Ovis aries	infected brain from sheep	AL1a	Arctic	-	-	2006	-	NIMMB13
DQ991130	Ovis aries	infected brain from sheep	AL1a	Arctic	-	-	2006	-	NIMMB14
DQ991119	Ovis aries	infected brain from sheep	AL1a	Arctic	-	-	2005	-	NIMMB3
AB206438	Ovis aries	sheep	DR	Bats	-	-	-	-	BR-Psp1
AB623078	Ovis aries	Sheep	DR	Bats	-	-	2004	-	BRsp1171
AB623079	Ovis aries	Sheep	DR	Bats	-	-	2008	-	BRsp1203
AB247441	Ovis aries	Sheep	DR	Bats	-	-	-	-	BRsp332
AB110665	Ovis aries	sheep	DR	Bats	-	-	-	-	BRsp35
JX648504	Ovis aries	sheep brain	DR	Bats	-	-	2003	-	PERAYASH26745-03
AB154242	Panthera tigris	Tiger	SEA1b	Asian	-	-	-	-	SC01-70
AY561802	Puma concolor	Puma concolor (cougar)	AM2b	Cosmopolitan	-	-	-	-	3282chihpm01
AY561811	Spilogale putorius	Spilogale putorius	-	RAC-SK	-	-	-	-	3247jalsk01
